trans_id,item
1,"Miso Salmon"
1,"Strawberry-Passion Fruit Limonata"
1,"Jade"
1,"Toasted Lager"
2,"Portabella, Avocado, and Zucchini Fries"
2,"Roller Dam Red Ale"
2,"American Red Porter"
2,"Southern Drawl Pale Lager"
2,"Spicy Shrimp Scampi Fritta"
2,"Maduro Brown Ale"
2,"Smores Layer Cake"
2,"Black Exodus"
2,"Parmesan Zucchini Bites"
2,"Sudice American Stout"
2,"Orange Chicken"
3,"Southern Drawl Pale Lager"
4,"Southern Drawl Pale Lager"
4,"Parmesan Zucchini Bites"
5,"Roller Dam Red Ale"
5,"Caramel Hazelnut Macchiato"
5,"American Red Porter"
5,"Southern Drawl Pale Lager"
5,"Spicy Shrimp Scampi Fritta"
5,"Smores Layer Cake"
5,"Black Exodus"
5,"Sudice American Stout"
5,"Orange Chicken"
6,"Chicken Pot Stickers"
6,"Perzik Saison"
6,"Underachiever"
7,"Southern Drawl Pale Lager"
7,"Black Exodus"
7,"Barrio Blanco"
7,"Factory Burger"
8,"Miso Salmon"
8,"Southwest Chicken Sandwich"
8,"Chicken Salad Sandwich"
9,"Chicken Salad Sandwich"
9,"Southern Drawl Pale Lager"
9,"Jade"
10,"Caramel Hazelnut Macchiato"
10,"Maduro Brown Ale"
10,"Smores Layer Cake"
11,"Toasted Lager"
11,"Southwest Chicken Sandwich"
11,"White Zombie Ale"
11,"Chicken Salad Sandwich"
11,"West Portal Colorado Common Summer Ale"
11,"Fresh Brewed Iced Tea"
11,"Strawberry-Passion Fruit Limonata"
12,"Roller Dam Red Ale"
12,"Barrio Blanco"
12,"Caramel Hazelnut Macchiato"
12,"American Red Porter"
12,"Arjuna"
12,"Southern Drawl Pale Lager"
12,"Spicy Shrimp Scampi Fritta"
12,"Smores Layer Cake"
12,"Parmesan Zucchini Bites"
12,"Sudice American Stout"
12,"Orange Chicken"
13,"Toasted Lager"
13,"Southern Drawl Pale Lager"
13,"West Portal Colorado Common Summer Ale"
13,"Fresh Brewed Iced Tea"
13,"Jade"
13,"Tomato Sauce with Choice of Pasta"
13,"Strawberry-Passion Fruit Limonata"
14,"Portabella, Avocado, and Zucchini Fries"
14,"Roller Dam Red Ale"
14,"Barrio Blanco"
14,"Arjuna"
14,"Southern Drawl Pale Lager"
14,"Maduro Brown Ale"
14,"Smores Layer Cake"
14,"Sudice American Stout"
14,"Orange Chicken"
15,"Frozen Cappuccino"
15,"Shrimp and Chicken Gumbo"
15,"Perzik Saison"
15,"Quick WIT"
15,"Chicken Pot Stickers"
15,"Underachiever"
15,"Endive Salad"
16,"Tomato Sauce with Choice of Pasta"
16,"Southwest Chicken Sandwich"
16,"Jade"
17,"Southern Drawl Pale Lager"
18,"Portabella, Avocado, and Zucchini Fries"
18,"Roller Dam Red Ale"
18,"Barrio Blanco"
18,"Caramel Hazelnut Macchiato"
18,"Arjuna"
18,"Spicy Shrimp Scampi Fritta"
18,"Parmesan Zucchini Bites"
19,"Endive Salad"
19,"Avocado Eggrolls"
19,"Quick WIT"
19,"Underachiever"
19,"Shrimp and Chicken Gumbo"
20,"Southwest Chicken Sandwich"
20,"White Zombie Ale"
20,"Chicken Salad Sandwich"
20,"Miso Salmon"
20,"West Portal Colorado Common Summer Ale"
20,"Jade"
20,"Fresh Brewed Iced Tea"
20,"Tomato Sauce with Choice of Pasta"
20,"Strawberry-Passion Fruit Limonata"
21,"Gossamer Golden Ale"
21,"Strawberry Blonde"
21,"Fresh Brewed Iced Tea"
22,"Kids Grilled Chicken with Gluten-free Rotini"
22,"Orange Grove Wheat Ale"
22,"Wrath of Pele"
22,"Seiche Scottish Ale"
22,"San Pellegrino Sparkling"
22,"1492"
22,"Tart Side of the Moon"
22,"Quesadilla with Chicken"
22,"Famous Factory Meatloaf"
22,"Tender Loving Empire NWPA"
22,"MCA"
22,"Spicy Shrimp Scampi Fritta"
22,"Chicken Samosas"
22,"Seafood Alfredo"
22,"Dead Armadillo Amber Ale"
22,"Morning Wood"
23,"Polar Pale Ale"
23,"Oatmeal PSA"
23,"Fresh Brewed Iced Tea"
23,"Chicken Pot Stickers"
23,"Strawberry-Passion Fruit Limonata"
23,"Dolcini (mini dessert)"
23,"312 Urban Pale Ale"
24,"Kids Grilled Chicken with Gluten-free Rotini"
24,"Orange Grove Wheat Ale"
24,"Wrath of Pele"
24,"Seiche Scottish Ale"
24,"1492"
24,"Quesadilla with Chicken"
24,"Morning Wood"
24,"Tender Loving Empire NWPA"
24,"Spicy Shrimp Scampi Fritta"
24,"Chicken Samosas"
24,"Dead Armadillo Amber Ale"
24,"Famous Factory Meatloaf"
25,"Kids Grilled Chicken with Gluten-free Rotini"
25,"Orange Grove Wheat Ale"
25,"Wrath of Pele"
25,"Seiche Scottish Ale"
25,"San Pellegrino Sparkling"
25,"1492"
25,"Tart Side of the Moon"
25,"Famous Factory Meatloaf"
25,"Quesadilla with Chicken"
25,"MCA"
25,"Tender Loving Empire NWPA"
25,"Spicy Shrimp Scampi Fritta"
25,"Newport Storm IPA"
25,"Chicken Samosas"
25,"Seafood Alfredo"
25,"Dead Armadillo Amber Ale"
25,"Morning Wood"
26,"Grilled Chicken and Avocado Club"
26,"Noche Dulce"
26,"Famous Factory Meatloaf"
27,"Buffalo Wings"
27,"Classic Burger"
27,"Oak Cliff Coffee Ale"
28,"Kids Grilled Chicken with Gluten-free Rotini"
28,"Orange Grove Wheat Ale"
28,"San Pellegrino Sparkling"
28,"Seiche Scottish Ale"
28,"Wrath of Pele"
28,"1492"
28,"Tart Side of the Moon"
28,"Quesadilla with Chicken"
28,"Famous Factory Meatloaf"
28,"MCA"
28,"Tender Loving Empire NWPA"
28,"Newport Storm IPA"
28,"Chicken Samosas"
28,"Seafood Alfredo"
28,"Dead Armadillo Amber Ale"
28,"Morning Wood"
29,"Guacamole Made-to-Order"
29,"Greenbelt Farmhouse Ale"
29,"Meat Sauce with Choice of Pasta"
29,"Fearless Scottish Ale"
29,"Raspberry Lemonade"
30,"Whitsun"
30,"Iced Coffees"
30,"Thrasher Session India Pale Ale"
30,"Great Crescent Belgian Style Wit"
30,"Steak Diane"
31,"Fisherman's Brew"
31,"Noche Dulce"
32,"Buffalo Wings"
32,"Stuffed Mushrooms"
33,"Kids Grilled Chicken with Gluten-free Rotini"
33,"Seiche Scottish Ale"
33,"Quesadilla with Chicken"
33,"Newport Storm IPA"
33,"Chicken Samosas"
33,"Dead Armadillo Amber Ale"
34,"Strawberry-Banana Smoothie"
34,"HopArt"
34,"Roller Dam Red Ale"
35,"Bacon-Bacon Cheeseburger"
35,"Buffalo Blasts"
35,"Hop Stalker Fresh Hop IPA"
35,"Trigger Blonde Ale"
35,"Thrasher Session India Pale Ale"
35,"Chicken Parmigiana"
35,"Chicken Fingers, and Pasta"
36,"Fish & Chips"
36,"Buffalo Wings"
36,"Heinnieweisse Weissebier"
36,"Oak Cliff Coffee Ale"
36,"Stuffed Mushrooms"
36,"Spicy Calabrian Chicken"
36,"Maduro Brown Ale"
36,"Classic Burger"
36,"Fried Mozzarella"
36,"Burning Bush Smoked IPA"
36,"Veggie Burger"
37,"Chicken Salad Sandwich"
37,"Blood Orange Honey"
37,"Spicy Cashew Chicken"
38,"Guacamole Made-to-Order"
38,"Naked Pig Pale Ale"
38,"ToGo Fountain Drinks"
38,"Warm Apple Crostata"
38,"Greenbelt Farmhouse Ale"
38,"Fearless Scottish Ale"
39,"Dipping Sauces includes 4 Breadsticks"
39,"Rye Porter"
40,"Strawberry-Passion Fruit Limonata"
40,"ToGo Our Famous House Salad"
41,"Divided Sky"
41,"Farmer Wirtz India Pale Ale"
41,"The 26th"
41,"Chicken Giardino"
41,"Extra Breadsticks!"
41,"Maduro Brown Ale"
41,"Perzik Saison"
41,"Mushroom Burger"
41,"Little Boss"
41,"Hopportunity Knocks IPA"
41,"Loaded Pasta Chips"
42,"Thai Glazed Salmon"
42,"Chicken Samosas"
43,"Divided Sky"
43,"Farmer Wirtz India Pale Ale"
43,"Back East Ale"
43,"The 26th"
43,"Chicken Giardino"
43,"Extra Breadsticks!"
43,"Maduro Brown Ale"
43,"Perzik Saison"
43,"Mushroom Burger"
43,"Little Boss"
43,"Hopportunity Knocks IPA"
43,"Loaded Pasta Chips"
44,"Divided Sky"
44,"Back East Ale"
44,"Extra Breadsticks!"
44,"The 26th"
44,"Chicken Giardino"
44,"Maduro Brown Ale"
44,"Perzik Saison"
44,"Mushroom Burger"
44,"Little Boss"
44,"Hopportunity Knocks IPA"
44,"Loaded Pasta Chips"
