bar,item,price
"Milo's Sports Tavern","Shepherd's Pie",15.95
"Boston Pizza","London Balling",8.67
"Opus Mainstreet","Mountain Livin' Pale Ale",2.85
"Chiquito","Arkansas Red",9.88
"Denny's","Famous Factory Meatloaf",17.5
"Don & Herb's Inc","Shrimp Alfredo",11.95
"Rumors Lounge & Restaurant","Clean Shave IPA",4.21
"Red Lobster","Mixed Berry Sparkling Water",3.95
"The Osthelder Saloon","Brush Creek Blonde",8.01
"Sheffield Wine & Spirits Center","Shrimp and Chicken Gumbo",17.95
"Pub 13","Thai Glazed Salmon",19.95
"Wibs","Live Local Golden Ale",1.72
"Crazy Donkey Bar Grill","ToGo Our Famous House Salad",6.95
"Pivots Beach Club","Dip Duo",1.95
"Club Soda","Chocolate Chunkin Pumpkin Cheesecake",6.95
"Town & Country","Incredible Pedal IPA",11.02
"P. F. Chang's China Bistro","Oak Cliff Coffee Ale",7.78
"Bottling CO","Crispy Crab Wontons",11.95
"Jekyll & Hydes","Teriyaki Chicken",16.95
"Saturn","Pizza",5.95
"Pei Wei Asian Diner","Buffalo Blasts",11.95
"Red Robin","Southern Fried Catfish",17.95
"For Pete's Sake","The Everything Pizza",14.5
"Mulligan's Pub","Greenbelt Farmhouse Ale",5.52
"Qdoba Mexican Grill","Sankaty Light Lager",5.72
"Charles A. Meyer","Pepper in the Rye",1.64
"Robert","Kobe Burger",14.95
"Ivar's Sports Bar & Grill","Core Oatmeal Stout",7.03
"Benihana","Eggplant Parmigiana",11.95
"N V Penthouse Lounge","Crispy Cuban Rolls",6.95
"D & J Web Solutions","Spicy Shrimp Scampi Fritta",9.95
"Ground Round","Citra Ass Down",4.48
"Boston Pizza","Chicken Marsala and Mushrooms",18.5
"Dave & Buster's","Lucky Buck",7.95
"Bottle & Cork","Twisted Helles Summer Lager",12.74
"Cracker Barrel Old Country Store","Fish & Chips",17.5
"Sutliff Bar & Grill","Rhode Island Blueberry",6.08
"J R's Last Laugh Comedy Club","Citra Ass Down",4.48
"Sinners Gentlemen's Club","Kids Rotini with Meat Sauce",5.95
"Vault Night Club","Chicken Samosas",6.95
"Señor Frog's","Stuffed Chicken Tortillas",14.95
"Wibs","Chicken Giardino",11.95
"Big Shots Sports Bar & Grill","Chicken with Lemon Couscous",15.95
"Kroc's","Thrasher Session India Pale Ale",9.71
"Red Barn","Beets With Goat Cheese",6.95
"Milo's Sports Tavern","Lost Sailor IPA",4.54
"BJ's Restaurant & Brewery","Freeride APA",7.21
"Cheese Burger in Paradise","Quick Wit Belgianesque Ale",6.57
"The Cheesecake Factory","Crusted Chicken Romano",16.95
"Mulligan's Pub","East India Pale Ale",12.32
"Jake's Grill","Chicken Samosas",6.95
"Downtown Lounge","Lucky Buck",7.95
"Daddy-O's","Bozone Hefe Weizen",10.18
"Grey Lounge","Cannoli Trio",5.95
"Red Barn","Bacon-Bacon Cheeseburger",13.95
"Scores","West Portal Colorado Common Summer Ale",3.43
"Red Robin","East India Pale Ale",12.32
"Smokey Bones","Italian Ice Milkshake",4.95
"Maria C. Estabil","Perzik Saison",5.61
"Atkins Park Tavern","BBQ Chicken Pizza",13.95
"Champions Sports Bar","Clean Shave IPA",4.21
"Paradise City","Back in Black",4.67
"Big Boy","Lemon Cream Cake",6.95
"Charles A. Meyer","London Balling",8.67
"Old Country Buffet","Rhode Island Blueberry",6.08
"Outback Steakhouse","Jade",7.81
"Bottle & Cork","Heinnieweisse Weissebier",8.9
"Fire Bar & Grill","Chargrilled Coulotte Steak",19.95
"Wibs","Yo Soy Un Berliner",6.52
"Señor Frog's","Strawberry-Banana Smoothie",4.95
"Gay Nineties Theatre Cafe","Five Cheese Ziti al Forno",11.95
"Red Robin","Pizza",5.95
"Worldwide Wine Services","BBQ Chicken Pizza",13.95
"Jake's Old City Grill","Cherny Bock",6.96
"County Line Pub","Dolcini (mini dessert)",2.95
"Jack's Place","Farmer Ted's Farmhouse Cream Ale",10.22
"Sheffield Wine & Spirits Center","Endive Salad",6.95
"Topper","Crispy Shrimp Sandwich",14.5
"LongHorn Steakhouse","Barney Flats Oatmeal Stout",2.27
"Jake's Old City Grill","Loaded Pasta Chips",6.95
"Bahama Breeze","Great Crescent IPA",3.84
"Niko's Lodge Bar & Grill","Braised Beef Bolognese",11.95
"Daddy-O's","Beasts A'Burnin'",7.88
"Dixie Taverne","Vietnamese Shrimp Summer Rolls",11.95
"Jovan's Lounge Ltd","Cut Throat Pale Ale",2.74
"Double Down Saloon","Caffè Mocha",4.95
"Sugarbush Tavern","Fried Mozzarella",5.95
"Benihana","Smores Layer Cake",6.95
"Club 101","Arjuna",7.79
"New Orleans Original Daiquiris","Stuffed Chicken Marsala",11.95
"Henrietta Hudson","Caldera IPA",7.55
"New York Dolls","Warm Crab and Artichoke Dip",11.95
"Perkins Restaurant and Bakery","Behemoth",12.89
"Border Lounge","Thai Glazed Salmon",19.95
"Bubba Gump Shrimp Company","Fisherman's Brew",5.52
"Border Lounge","Akari Shogun American Wheat Ale",2.92
"The Cheesecake Factory","Factory Burrito Grande",14.95
"Café Rouge","Crispy Fried Cheese",5.95
"Chipotle Mexican Grill","Akari Shogun American Wheat Ale",2.92
"Hard Rock Cafe","Chicken Parmigiana",11.95
"Gold Hawk","Thai Glazed Salmon",19.95
"California Pizza Kitchen","Frozen Cappuccino",4.95
"Wolfs Tavern","Sausage and Ricotta Flatbread",6.95
"Pub 13","Underachiever",9.43
"Lone Star Steakhouse & Saloon","Fried Macaroni and Cheese",11.5
"Quaker Steak & Lube","Greek Salad",6.95
"Fire Bar & Grill","Crispy Chicken Costoletta",17.95
"Black Angus Steakhouse","Eggplant Parmigiana",11.95
"Dixie Taverne","Barney Flats Oatmeal Stout",3.84
"Chiquito","Coq D'Or",9.59
"Sportsman","Bozone Hefe Weizen",10.18
"Moms Toy Box","Crusted Chicken Romano",16.95
"Schileens Pub","Greenbelt Farmhouse Ale",5.52
"Downtown Lounge","Coq D'Or",9.59
"Stonebridge Village Poa","Saddle Bronc Brown Ale",5.33
"Gay Nineties Theatre Cafe","West Portal Colorado Common Summer Ale",3.43
"Buffalo Wild Wings","Orange Grove Wheat Ale",8.47
"Improper Bostonian","Margherita Pizza",12.95
"Johnny Rockets","Chicken Samosas",6.95
"Gay Nineties Theatre Cafe","Fire-Roasted Fresh Artichoke",11.5
"Worldwide Wine Services","ToGo Soup, Salad, and Breadsticks Combo",9.95
"Station","Sundae",1.95
"YUMIS SUSHI BAR","Fried Macaroni and Cheese",11.5
"Xtc Cabaret","Grilled Turkey Burger",13.95
"Red Barn","Steak Diane",19.95
"Hooters","Fish Tacos",14.95
"Daddy-O's","Incredible Pedal IPA",11.02
"Charles A. Meyer","ToGo Homemade Soups",5.95
"Robert","Fried Zucchini",5.95
"Wellhead Restaurant-Brew Pub","Chicken Parmigiana",11.95
"BJ's Restaurant & Brewery","Sankaty Light Lager",5.72
"Big Shots Sports Bar & Grill","Parmesan-Garlic Cheese Bread",8.95
"Eight Seconds","Spicy Shrimp Scampi Fritta",9.95
"Wibs","Sankaty Light Lager",5.72
"Friendly's","Classic Shrimp Scampi Fritta",9.95
"T.G.I. Friday's","Pepper in the Rye",1.64
"Club Soda","Greek Salad",6.95
"Jrbc","Tex Mex Eggrolls",10.95
"Outback Steakhouse","Pizza",5.95
"Uno Chicago Grill","Akari Shogun American Wheat Ale",2.92
"Union Street Station","Underdog Atlantic Lager",8.28
"Chris Cocallas","Awry Rye Pale Ale",2.59
"Cork Town Tavern","Five Cheese Marinara with Choice of Pasta",5.95
"Famous Dave's","Kaleidoscope Collaboration 2012",6.52
"Golden Corral","Tart Side of the Moon",10.91
"Perkins Restaurant and Bakery","Cherny Bock",6.96
"Vault Night Club","Thai Glazed Salmon",19.95
"Dave & Buster's","Chicken Marsala and Mushrooms",18.5
"Iron Post","Beasts A'Burnin'",7.88
"Toc Bar","Fried Shrimp Platter",17.95
"Daddy-O's","Lasagna Fritta",8.95
"Henrietta Hudson","Akari Shogun American Wheat Ale",2.92
