name,license,city,state,phone,addr,day,opens,closes
"Opus Mainstreet", "NJ59532", "South Plainfield", "NJ", "4646051398", "8611 Cobblestone Avenue", 1, 09:00:00, 13:00:00
"Opus Mainstreet", "NJ59532", "South Plainfield", "NJ", "4646051398", "8611 Cobblestone Avenue", 2, 09:00:00, 13:00:00
"Opus Mainstreet", "NJ59532", "South Plainfield", "NJ", "4646051398", "8611 Cobblestone Avenue", 3, 09:00:00, 13:00:00
"Opus Mainstreet", "NJ59532", "South Plainfield", "NJ", "4646051398", "8611 Cobblestone Avenue", 4, 09:00:00, 13:00:00
"Opus Mainstreet", "NJ59532", "South Plainfield", "NJ", "4646051398", "8611 Cobblestone Avenue", 5, 09:00:00, 13:00:00
"Opus Mainstreet", "NJ59532", "South Plainfield", "NJ", "4646051398", "8611 Cobblestone Avenue", 6, 09:00:00, 13:00:00
"Opus Mainstreet", "NJ59532", "South Plainfield", "NJ", "4646051398", "8611 Cobblestone Avenue", 7, 15:00:00, 02:00:00
"Caledonia Lounge", "FL74116", "Fernandina Beach", "FL", "2795932312", "7669 Augusta Ave.", 1, 06:00:00, 01:00:00
"Caledonia Lounge", "FL74116", "Fernandina Beach", "FL", "2795932312", "7669 Augusta Ave.", 2, 06:00:00, 01:00:00
"Caledonia Lounge", "FL74116", "Fernandina Beach", "FL", "2795932312", "7669 Augusta Ave.", 3, 06:00:00, 01:00:00
"Caledonia Lounge", "FL74116", "Fernandina Beach", "FL", "2795932312", "7669 Augusta Ave.", 4, 06:00:00, 01:00:00
"Caledonia Lounge", "FL74116", "Fernandina Beach", "FL", "2795932312", "7669 Augusta Ave.", 5, 06:00:00, 01:00:00
"Caledonia Lounge", "FL74116", "Fernandina Beach", "FL", "2795932312", "7669 Augusta Ave.", 6, 12:00:00, 19:00:00
"Caledonia Lounge", "FL74116", "Fernandina Beach", "FL", "2795932312", "7669 Augusta Ave.", 7, 06:00:00, 01:00:00
"Ivar's Sports Bar & Grill", "IN54683", "Bloomington", "IN", "6385676766", "45 Thompson Drive", 1, 12:00:00, 19:00:00
"Ivar's Sports Bar & Grill", "IN54683", "Bloomington", "IN", "6385676766", "45 Thompson Drive", 2, 12:00:00, 19:00:00
"Ivar's Sports Bar & Grill", "IN54683", "Bloomington", "IN", "6385676766", "45 Thompson Drive", 3, 12:00:00, 19:00:00
"Ivar's Sports Bar & Grill", "IN54683", "Bloomington", "IN", "6385676766", "45 Thompson Drive", 4, 12:00:00, 19:00:00
"Ivar's Sports Bar & Grill", "IN54683", "Bloomington", "IN", "6385676766", "45 Thompson Drive", 5, 13:00:00, 23:00:00
"Ivar's Sports Bar & Grill", "IN54683", "Bloomington", "IN", "6385676766", "45 Thompson Drive", 6, 12:00:00, 19:00:00
