trans_id,item
1,"Eggplant Parmigiana"
1,"Guacamole Made-to-Order"
2,"Firecracker Salmon"
2,"Chicken and Shrimp Carbonara"
3,"Grand Canyon American Pilsner"
4,"Fisherman's Brew"
4,"Tropical Saison"
4,"Kiwi-Melon Limonata"
4,"Eggplant Parmigiana"
4,"Guacamole Made-to-Order"
4,"Wood Chipper India Pale Ale"
4,"Underdog Atlantic Lager"
4,"Cold Press"
5,"Fisherman's Brew"
5,"Tropical Saison"
5,"Eggplant Parmigiana"
5,"Guacamole Made-to-Order"
5,"Wood Chipper India Pale Ale"
5,"Underdog Atlantic Lager"
6,"Fisherman's Brew"
6,"Tropical Saison"
6,"Kiwi-Melon Limonata"
6,"Eggplant Parmigiana"
6,"Guacamole Made-to-Order"
6,"Wood Chipper India Pale Ale"
6,"Underdog Atlantic Lager"
6,"Cold Press"
7,"3 Picket Porter"
8,"Cannoli Trio"
8,"Shrimp and Chicken Gumbo"
8,"Atwater's Lager"
8,"Aslan IPA"
8,"Athena"
8,"Kids Rotini with Marinara"
8,"Morning Wood"
8,"Polar Pale Ale"
8,"Macaroni and Cheese"
8,"Seasonal Sicilian Cheesecake"
8,"Fire-Roasted Fresh Artichoke"
9,"Cannoli Trio"
9,"Factory Burrito Grande"
9,"Atwater's Lager"
9,"Fish & Chips"
9,"Fettuccine Alfredo"
9,"ToGo Fountain Drinks"
9,"Factory Burger"
9,"Dolcini (mini dessert)"
9,"Jamaican Black Pepper chicken and Shrimp"
9,"Salamander Slam"
9,"Orange Chicken"
9,"Stuffed Chicken Marsala"
10,"Fire-Roasted Fresh Artichoke"
10,"Cannoli Trio"
10,"Seasonal Sicilian Cheesecake"
10,"Athena"
11,"Cannoli Trio"
11,"Atwater's Lager"
11,"Pit Beef Dip"
11,"Macaroni and Cheese"
11,"Seasonal Sicilian Cheesecake"
11,"Unlimited Our Famous House Salad"
11,"Fire-Roasted Fresh Artichoke"
11,"Jack Pine Savage"
12,"Chicken and Shrimp Carbonara"
13,"Cannoli Trio"
13,"Fettuccine Alfredo"
13,"ToGo Fountain Drinks"
13,"Factory Burger"
13,"Portabella, Avocado, and Zucchini Fries"
13,"Dolcini (mini dessert)"
13,"Stuffed Chicken Marsala"
13,"Orange Chicken"
13,"Fish & Chips"
14,"Factory Burrito Grande"
14,"ToGo Fountain Drinks"
14,"Portabella, Avocado, and Zucchini Fries"
14,"Dolcini (mini dessert)"
14,"Salamander Slam"
14,"Stuffed Chicken Marsala"
15,"Great River Golden Ale"
15,"Stuffed Chicken Tortillas"
15,"Great Crescent Dark Lager"
15,"Chicken Marsala and Mushrooms"
15,"Chicken Margherita"
15,"Eggplant Parmesan"
15,"Underdog Atlantic Lager"
15,"Peach-Mango Smoothie"
15,"Jack Pine Savage"
16,"Cannoli Trio"
16,"Factory Burrito Grande"
16,"Atwater's Lager"
16,"Fettuccine Alfredo"
16,"ToGo Fountain Drinks"
16,"Factory Burger"
16,"Portabella, Avocado, and Zucchini Fries"
16,"Dolcini (mini dessert)"
16,"Stuffed Chicken Marsala"
16,"Jamaican Black Pepper chicken and Shrimp"
16,"Salamander Slam"
16,"Orange Chicken"
16,"Fish & Chips"
17,"Cannoli Trio"
17,"Shrimp and Chicken Gumbo"
17,"Atwater's Lager"
17,"Aslan IPA"
17,"Pit Beef Dip"
17,"Athena"
17,"Kids Rotini with Marinara"
17,"Polar Pale Ale"
17,"Morning Wood"
17,"Macaroni and Cheese"
17,"Seasonal Sicilian Cheesecake"
17,"Tropical Heatwave"
17,"Unlimited Our Famous House Salad"
17,"Fire-Roasted Fresh Artichoke"
17,"Jack Pine Savage"
18,"Great River Golden Ale"
18,"Great Crescent Dark Lager"
18,"Chicken Margherita"
18,"Fairweather IPA"
18,"Eggplant Parmesan"
18,"Peach-Mango Smoothie"
18,"Roadside Sliders"
18,"Jack Pine Savage"
19,"Cannoli Trio"
19,"Fettuccine Alfredo"
19,"Factory Burger"
19,"Portabella, Avocado, and Zucchini Fries"
19,"Dolcini (mini dessert)"
19,"Jamaican Black Pepper chicken and Shrimp"
19,"Salamander Slam"
19,"Fish & Chips"
20,"Bacon-Bacon Cheeseburger"
20,"Paris"
20,"Cuban Sandwich"
20,"3 Picket Porter"
20,"Warm Crab and Artichoke Dip"
20,"Grand Canyon American Pilsner"
20,"Chicken and Shrimp Carbonara"
20,"Crispy Shrimp Sandwich"
20,"Firecracker Salmon"
20,"Saison Pamplemousse"
21,"Four Peaks Peach Ale"
21,"Amber Road"
21,"Orange Wheat"
22,"Stuffed Chicken Tortillas"
22,"Lasagna Classico"
23,"Devils Tramping Ground Tripel"
23,"Lasagna Classico"
23,"Barney Flats Oatmeal Stout"
23,"Monon Wheat"
23,"Mo's Gose"
23,"Caramel Hazelnut Macchiato"
23,"Aslan Amber"
23,"Damnesia"
23,"Stuffed Chicken Tortillas"
23,"Deflator"
24,"El Hefe Speaks"
24,"Factory Burrito Grande"
24,"Over Ale"
25,"Suncaster Summer Wheat"
25,"Jack Pine Savage"
26,"Devils Tramping Ground Tripel"
26,"Mo's Gose"
26,"Barney Flats Oatmeal Stout"
26,"Monon Wheat"
26,"Lasagna Classico"
26,"Bring Back the Beach Blonde Ale"
26,"Morning Wood"
26,"Caramel Hazelnut Macchiato"
26,"Aslan Amber"
26,"Damnesia"
26,"Stuffed Chicken Tortillas"
26,"Deflator"
27,"Strawberry-Passion Fruit Limonata"
27,"Thai Glazed Salmon"
27,"Atwater's Lager"
27,"KSA"
27,"More Cowbell"
27,"Warm Apple Crostata"
27,"Fresh Basil, Tomato, and Cheese Flatbread"
27,"Stuffed Chicken Tortillas"
28,"California Cheesesteak"
29,"Factory Burrito Grande"
29,"Lasagna Fritta"
29,"El Hefe Speaks"
29,"Chicken Margherita"
29,"BBQ Chicken Pizza"
29,"Polar Pale Ale"
29,"Little House Salad"
29,"California Cheesesteak"
29,"Firecracker Salmon"
29,"Over Ale"
30,"Lasagna Classico"
30,"Mo's Gose"
30,"Aslan Amber"
30,"Monon Wheat"
30,"Stuffed Chicken Tortillas"
31,"What the Butler Saw"
31,"Five Cheese Ziti al Forno"
31,"Bent Paddle Black Ale"
31,"Iced Coffees"
32,"Lasagna Fritta"
32,"Chicken Margherita"
32,"Polar Pale Ale"
32,"Little House Salad"
32,"California Cheesesteak"
32,"Crispy Chicken Costoletta"
32,"Firecracker Salmon"
32,"Over Ale"
33,"What the Butler Saw"
33,"Herbal, and Flavored Hot Teas"
34,"Suncaster Summer Wheat"
34,"Bent Paddle Black Ale"
35,"Atwater's Lager"
35,"More Cowbell"
35,"Warm Apple Crostata"
35,"Polar Pale Ale"
35,"Little Red Cap"
36,"Factory Burrito Grande"
36,"Lasagna Fritta"
36,"Chicken Margherita"
36,"BBQ Chicken Pizza"
36,"Polar Pale Ale"
36,"Little House Salad"
36,"California Cheesesteak"
36,"Crispy Chicken Costoletta"
36,"Firecracker Salmon"
36,"Over Ale"
37,"Strawberry-Passion Fruit Limonata"
37,"Thai Glazed Salmon"
37,"Atwater's Lager"
37,"KSA"
37,"Stuffed Chicken Tortillas"
37,"More Cowbell"
37,"Warm Apple Crostata"
37,"Star Runner"
37,"California Sunshine Rye IPA"
37,"Fresh Basil, Tomato, and Cheese Flatbread"
37,"Little Red Cap"
38,"Firecracker Salmon"
38,"Polar Pale Ale"
38,"Lasagna Fritta"
39,"Citrafest"
39,"Italian Ice Milkshake"
40,"Strawberry-Passion Fruit Limonata"
40,"Bent Paddle Black Ale"
40,"Tropical Saison"
40,"Guacamole Made-to-Order"
40,"The Citizen"
40,"Chicken Scampi"
40,"Orange Wheat"
40,"Citrafest"
40,"Italian Ice Milkshake"
40,"Southwest Chicken Sandwich"
40,"Amber Road"
41,"Norm's Gateway IPA"
41,"Baja Chicken Tacos"
41,"Tomato Sauce with Choice of Pasta"
41,"Bring Back the Beach Blonde Ale"
41,"Best Brown"
41,"Independence Pass Ale"
41,"Black Rabbit"
41,"Lemon-Herb Roasted Chicken"
41,"Fresh Brewed Iced Tea"
41,"Macaroni and Cheese Burger"
42,"Chin Music Amber Lager"
43,"Dirtbag Dunkel"
43,"Chicken Parmesan Sandwich"
43,"2-Liter Soda"
43,"Black Rabbit"
43,"Stuffed Chicken Tortillas"
44,"Chin Music Amber Lager"
44,"Hyzer Flip"
44,"Chicken Parmesan Sandwich"
