bar,item,price
"Improper Bostonian","Wonderstuff",6.55
"Cork Town Tavern","Incredible Pedal IPA",4.65
"Daddy's","Warm Crab and Artichoke Dip",11.95
"Perkins Restaurant and Bakery","California Sunshine Rye IPA",9.56
"Double Down Saloon","Sundae",1.95
"Crystal Corner Bar","The Everything Pizza",14.5
"Perkins Restaurant and Bakery","Shrimp Carbonara",11.95
"Big Shots Sports Bar & Grill","Smokehouse BBQ Burger",13.95
"Spot On The Alley","Trigger Blonde Ale",3.65
"Dolphin Inn","Nuclear Winter",10.7
"Steak 'n Shake","Fried Macaroni and Cheese",11.5
"Worldwide Wine Services","Beets With Goat Cheese",6.95
"Romano's Macaroni Grill","Kobe Burger",14.95
"California Pizza Kitchen","The 26th",3.9
"YUMIS SUSHI BAR","Frozen Cappuccino",4.95
"Black-eyed Pea","Seiche Scottish Ale",6.33
"Houlihan's","Chicken and Shrimp Carbonara",11.95
"Schileens Pub","Hyzer Flip",8.81
"Champions Sports Bar","Monon Wheat",8.88
"Hurricane Alley","Seasonal Sicilian Cheesecake",6.95
"Dolphin Inn","Shepherd's Pie",15.95
"BJ's Restaurant & Brewery","Crispy Shrimp Sandwich",14.5
"BJ's Restaurant & Brewery","Bitter Bitch Imperial IPA",12.4
"D & J Web Solutions","Chicken Giardino",11.95
"Tryst Lounge","Hinchtown Hammer Down",6.52
"Sugarbush Tavern","Dream Crusher Double IPA",2.13
"County Line Pub","Chicken Scampi",11.95
"Double Olive Lounge","Island Wheat",9.96
"The Osthelder Saloon","Fresh Basil, Tomato, and Cheese Flatbread",6.95
"Moms Toy Box","Kiwi-Melon Limonata",3.95
"Crowe Bar","Famous Factory Meatloaf",17.5
"Dick's Last Resort","Titan IPA",9.49
"The Osthelder Saloon","Hop A Potamus Double Dark Rye Pale Ale",5.99
"Crazy Donkey Bar Grill","Quesadilla",9.95
"Rainforest Cafe","Create Your Own Pasta - Cucina Mia!",9.95
"Boynton Restaurant & Spirits","Shiva IPA",7.09
"Hooters","The Everything Pizza",14.5
"Dave & Buster's","Lemon-Herb Roasted Chicken",18.5
"The Original Pancake House","Hyzer Flip",8.81
"Ground Round","Blueberry Limonata",3.95
"Sheffield Wine & Spirits Center","More Cowbell",10.89
"Savannah Wine Shop","Agent a Deux",6.59
"Buffalo Wild Wings","ToGo Fountain Drinks",2.95
"New West","Grilled Chicken Parmigiana",11.95
"Applebee's","Roadside Sliders",9.95
"Wolfs Tavern","Tropical Heatwave",10.58
"Saturn","BBQ Chicken Pizza",13.95
"Kesler Sports Bar & Grill","Vietnamese Shrimp Summer Rolls",11.95
"Kroc's","Jack Pine Savage",6.41
"Rainforest Cafe","Fisherman's Brew",12.57
"Opus Mainstreet","Floyd's Folly",6.76
"Big Boy","Tart Side of the Barrel",6.26
"Toc Bar","Orange Chicken",16.95
"Steak 'n Shake","Kids Grilled Chicken with Gluten-free Rotini",6.95
"Old Capitol Brew Works","Mushroom Burger",13.95
"J D Bar Corp","Mo's Gose",2.21
"Shanahan's Lafayette","Mastermind",5.15
"Romano's Macaroni Grill","Union Jack",4.64
"Señor Frog's","Crabcakes",13.95
"Toc Bar","Bang-Bang Chicken and Shrimp",19.5
"California Pizza Kitchen","Vietnamese Shrimp Summer Rolls",11.95
"New Orleans Original Daiquiris","Steak Diane",19.95
"Bertucci's","Roadside Sliders",9.95
"IHOP","Bring Back the Beach Blonde Ale",1.01
"Pub 13","Fried Zucchini",5.95
"Modoggies Bar & Grill","The Citizen",7.22
"T.G.I. Friday's","Classic Shrimp Scampi Fritta",9.95
"Pivots Beach Club","Jamaican Black Pepper Chicken",17.95
"Bubba Gump Shrimp Company","2-Liter Soda",4.95
"Schileens Pub","Terlingua Gold",9.67
"Chris Cocallas","2-Liter Soda",4.95
"Qdoba Mexican Grill","Old Fashioned Burger",11.95
"Big Boy","Steak Diane",19.95
"Milo's Sports Tavern","Atwater's Lager",1.89
"Town & Country","Salmon Piccata",11.95
"Rascal's","Chicken Pot Stickers",10.95
"Lone Star Steakhouse & Saloon","Norm's Gateway IPA",10.42
"Heart Attack Grill","Dipping Sauces includes 4 Breadsticks",3.95
"Bennigan's","Stuffed Chicken Marsala",11.95
"Met Lounge","Smokehouse BBQ Burger",13.95
"Charlie Brown's Steakhouse","Grilled Steak Tacos",15.95
"Pub 13","Jamaican Black Pepper Chicken",17.95
"Bertucci's","Kobe Burger",14.95
"Improper Bostonian","Dream Crusher Double IPA",2.13
"Café Rouge","Margherita Pizza",12.95
"Big Al's","Hurricane Amber Ale",6.17
"Pub 13","Loaded Pasta Chips",6.95
"YUMIS SUSHI BAR","Pilot Rock Porter",11.26
"Jack's Place","Good People American Brown Ale",12.21
"Spot On The Alley","Poop Deck Porter",6.99
"Paradise City","Tomato Sauce with Choice of Pasta",5.95
"Town & Country","Cappuccino",4.95
"Station","Family-Style Lasagna Bundle",6.95
"Modoggies Bar & Grill","Capital Gold Golden Lager",7.43
"Round-Up Saloon","Roadside Sliders",9.95
"Boynton Restaurant & Spirits","Terlingua Gold",9.67
"Smokey Bones","Acqua Panna Spring",2.95
"Cheddar's Casual Café","Lasagna Fritta",8.95
"Black Angus Steakhouse","Polar Pale Ale",8.01
"Savannah Wine Shop","Arcus IPA",9.76
"Bertucci's","Desolation IPA",9.84
"Shanahan's Lafayette","The Club",13.95
"Daddy-O's","Desolation IPA",9.84
"Big Al's","Mothman Black IPA",2.29
"Big Boy","Parmesan-Garlic Cheese Bread",8.95
"Niko's Lodge Bar & Grill","Humidor Series India Pale Ale",5.96
"Kainoa's Sports Bar & Restrnt","Crispy Fried Cheese",5.95
"Toc Bar","Chicken Marsala and Mushrooms",18.5
"Bennigan's","Barney Flats Oatmeal Stout",1.42
"Señor Frog's","Bacon-Bacon Cheeseburger",13.95
"Bubba Gump Shrimp Company","Guacamole Made-to-Order",11.95
"Steak 'n Shake","Chicken Parmigiana",11.95
"Mugshots Bar","Italian Ice Milkshake",4.95
"Apple Inn","Klickitat Pale Ale",1.76
"Ivar's Sports Bar & Grill","Five Cheese Marinara with Choice of Pasta",5.95
"Baja Fresh","312 Urban Pale Ale",8.89
"Jekyll & Hydes","The Club",13.95
"Red Lobster","Stuffed Chicken Marsala",11.95
"Dick's Last Resort","Greenbelt Farmhouse Ale",8.17
"Stanhope House","Dolores River ESB",6.69
"Kainoa's Sports Bar & Restrnt","Chicken Pot Stickers",10.95
"Park Tavern Lounge & Lanes","Chicken and Shrimp Carbonara",11.95
"Boston Market","Raspberry Lemonade",2.95
"Perkins Restaurant and Bakery","1327 Pod's ESB",2.16
"Café Rouge","Lasagna Dip",7.95
"Cheddar's Casual Café","BBQ Chicken Pizza",13.95
"Improper Bostonian","6 oz Sirloin with Fettuccine Alfredo",11.95
"N V Penthouse Lounge","Chicken Margherita",11.95
"Mugshots Bar","Moirai India Pale Ale",3.71
"Scores","Grilled Turkey Burger",13.95
"Bertucci's","Grilled Pork Chop",19.95
"J R's Bar & Grill Inc","Bravo Four Point",10.53
"Perkins Restaurant and Bakery","Bent Paddle Black Ale",2.43
"Ad Card Promotions","Eggroll Sampler",11.95
"Baja Fresh","Chin Music Amber Lager",4.96
"Shanahan's Lafayette","Loaded Backed Potato Tots",5.95
"Hard Rock Cafe","London Balling",10.73
"Friendly's","Tomato Sauce with Choice of Pasta",5.95
"New Orleans Original Daiquiris","Capital Gold Golden Lager",7.43
"T.G.I. Friday's","Fettuccine Alfredo",11.95
"Kells Restaurant","Caldera Pale Ale",2.64
"Planet Hollywood","Pile O'Dirt Porter",1.84
"Barrister S Euro Tavern;","Kids Grilled Chicken with Gluten-free Rotini",6.95
"Apple Inn","Alfredo Sauce with Choice of Pasta",5.95
"Rainforest Cafe","Arcus IPA",9.76
"New Orleans Original Daiquiris","Trigger Blonde Ale",3.65
"Benihana","Calamari",9.95
"Buffalo Wild Wings","Fairweather IPA",7.99
"T.G.I. Friday's","Veggie Melt",12.95
"J D Bar Corp","Dipping Sauces includes 4 Breadsticks",3.95
"Club 101","Phantom Punch Winter Stout",10.36
"Charles A. Meyer","Lucky Dog",6.15
"Lone Star Athletic Football Club","Jack Pine Savage",6.41
"Waffle House","Devils Tramping Ground Tripel",8.36
"Red Lobster","Cannoli Trio",5.95
"Stingers Sports Pub & Grill","The Citizen",7.22
"Jovan's Lounge Ltd","Whitewater",7.37
"40 Watt Club","Peanut Butter Jelly Time",6.62
"New Orleans Original Daiquiris","Hopalicious",10.57
"The Old Spaghetti Factory","Lasagna Dip",7.95
"YUMIS SUSHI BAR","Ravioli di Portobello",11.95
"Bahama Breeze","The Everything Pizza",14.5
"Fire Bar & Grill","Chicken Samosas",6.95
"Johnny Mac's Scoreboard","Fire Eagle IPA",4.08
"For Pete's Sake","Stuffed Chicken Marsala",11.95
"Wellhead Restaurant-Brew Pub","Union Jack",4.64
"Wibs","Loaded Backed Potato Tots",5.95
"Hotshots Sports Bar & Grill","Braised Beef Bolognese",11.95
"Improper Bostonian","Black Tie Mousse Cake",6.95
"Crowe Bar","The 26th",3.9
"Bottling CO","Lasagna Dip",7.95
"Off Broadway","Stuffed Chicken Marsala",11.95
"Toc Bar","Orabelle",2.83
"MJ's","Blackbeard",5.86
"World Beer Direct","Frosted Fields Winter Wheat",10.52
"Ground Round","River Runners Pale Ale",1.06
"Union Street Station","Gossamer Golden Ale",12.9
"LongHorn Steakhouse","Easy Jack",6.97
"Saturn","Bang-Bang Chicken and Shrimp",19.5
"Off Broadway","Atwater's Lager",1.89
"Tony Roma's","Great Crescent Brown Ale",12.54
"MJ's","Oktoberfest",12.45
"Don & Herb's Inc","Chicken Giardino",11.95
"Gay Nineties Theatre Cafe","Tropical Saison",7.79
"Crystal Corner Bar","Sundae",1.95
"Star Tavern & Pizzeria","Union Jack",4.64
"Wolfs Tavern","Seasonal Sicilian Cheesecake",6.95
"Kroc's","Smokehouse BBQ Burger",13.95
"Club Paragon","Great Crescent Dark Lager",5.35
"Tweed's Pub Restaurant","Fettuccine Alfredo",11.95
"Arlene's","Herb-Grilled Salmon",11.95
"Planet Hollywood","Salmon Piccata",11.95
"Dixie Taverne","Hopalicious",10.57
"Kainoa's Sports Bar & Restrnt","Raspberry Lemonade",2.95
"Atkins Park Tavern","Hot Coffee",2.95
"Shanahan's Lafayette","Missile IPA",12.24
"Improper Bostonian","Agent a Deux",6.59
"Rainforest Cafe","Raspberry Lemonade",2.95
"Club Soda","Dolcini (mini dessert)",2.95
"Lanigan's Irish Pub & Eatery","Whitewater",7.37
"Scooters","3 Picket Porter",3.9
"Paradise City","Little House Salad",4.95
"C C Slaughters Restaurant","Four Peaks Peach Ale",12.62
"Rumors Lounge & Restaurant","Dirtbag Dunkel",4.45
"Tryst Lounge","Wood Chipper India Pale Ale",2.29
"Crystal Corner Bar","Orange Chicken",16.95
"On the Border Mexican Grill & Cantina","Escape to Colorado",12.7
"Red Robin","Shiva IPA",7.09
"Señor Frog's","Bellini Peach-Raspberry Iced Tea",2.95
"Round-Up Saloon","Golden Road Hefeweizen",6.64
"Club 101","Backyahd IPA",12.48
"Applebee's","Hyzer Flip",8.81
"T.G.I. Friday's","Nuclear Winter",10.7
"40 Watt Club","Lucky Dog",6.15
"Karma Lounge Ltd","Famous Factory Meatloaf",17.5
"Dolphin Inn","Eggplant Parmesan",14.95
"E Robert Brame","Kids Rotini with Meat Sauce",5.95
"Chili's","San Pellegrino Sparkling",2.95
"War Room","Strawberry-Passion Fruit Limonata",3.95
"Jekyll & Hydes","Dundee Summer Wheat Beer",10.35
"Old Capitol Brew Works","Fish & Chips",17.5
"Big Shots Sports Bar & Grill","Black Tie Mousse Cake",6.95
"Caledonia Lounge","Chin Music Amber Lager",4.96
"J R's Last Laugh Comedy Club","Pile O'Dirt Porter",1.84
"Star Tavern & Pizzeria","Grilled Pork Chop",19.95
"Off Broadway","Dolcini (mini dessert)",2.95
"Olive Garden","Tropical Saison",7.79
"Johnny Rockets","Lasagna Dip",7.95
"Iron Post","Kids Rotini with Meat Sauce",5.95
"Lone Star Steakhouse & Saloon","Lemon-Herb Roasted Chicken",18.5
"Rainforest Cafe","Margherita Pizza",12.95
"Sugarbush Tavern","Grilled Pork Chop",19.95
"Barrister S Euro Tavern;","Lasagna Fritta",8.95
"Wellhead Restaurant-Brew Pub","Steak Gorgonzola-Alfredo",11.95
"Twin Peeks","Verdun",4.94
"Paradise City","Aslan Amber",1.62
"Friendly's","Bravo Four Point",10.53
"The Old Spaghetti Factory","Atwater's Lager",1.89
"County Line Pub","Nut Sack Imperial Brown Ale",7.23
"Crowe Bar","Roadside Sliders",9.95
"Ten","Fried Shrimp Platter",17.95
"The Cheesecake Factory","Kobe Burger",14.95
"Old Capitol Brew Works","Chicken Salad Sandwich",12.5
"T.G.I. Friday's","Grilled Chicken Parmigiana",11.95
"Romano's Macaroni Grill","Monkey Chased the Weasel",7.91
"Rascal's","Great River Golden Ale",2.17
"Downtown Lounge","Stickin' In My Rye",1.77
"YUMIS SUSHI BAR","Caramel Hazelnut Macchiato",4.95
